rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
103,"spotify:track:5hquKiRUsOh0079PvO7EJN","Adé","Tout savoir","Tôt Ou Tard",103,118,4,"420462"
104,"spotify:track:1SlLP2AI4L2oh3VRJfHBpf","Blasterjaxx, Prezioso, LIZOT, Shibui","Hurricane (feat. SHIBUI)","Spinnin' Records",104,120,4,"419793"
105,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,102,142,"412429"
106,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",85,112,55,"410056"
107,"spotify:track:57acLvkLlixZ4wm6DBhLEu","Mastu","Balade à deux","Mastu",90,101,4,"406465"
108,"spotify:track:66tNDqYNR2S6Svwgm3BMi9","OBOY","Cabeza","Syndicate Records",5,117,111,"403969"
109,"spotify:track:7lipUxEvDX7gvpVLOoqiau","Lomepal","Tee","Pinéale",11,107,11,"403280"
110,"spotify:track:2kg6gav2Y7ceVoZ0s5l3Zz","Niska","44","Universal Music Division Capitol Music France",22,121,27,"403160"
111,"spotify:track:1SOClUWhOi8vHZYMz3GluK","Jaymes Young","Infinity","Atlantic Records",11,100,39,"403095"
112,"spotify:track:0hveTnaqO8nXDMwwsJGJI3","SDM, Tiakola","Redescends (feat Tiakola)","92i/Capitol",34,96,5,"402556"
113,"spotify:track:0X5zETsfr8nGAVABRcD4o4","Djadja & Dinaz","Dans le Réseau","Carré music",16,116,50,"401438"
114,"spotify:track:4WB9OeauHXnGOMUK4s80gM","Lomepal","Trop beau","Pineale Prod - Grand Musique Management",1,106,191,"399878"
115,"spotify:track:6CyIkPh5mRkJg7T5xXynQ8","Hornet La Frappe, Ninho","Gasolina (feat. Ninho)","Rec. 118",11,109,51,"396553"
116,"spotify:track:3CIyK1V4JEJkg02E4EJnDl","Imagine Dragons, JID, Arcane, League of Legends","Enemy (with JID) - from the series Arcane League of Legends","Kid Ina Korner / Interscope",6,110,42,"394709"
117,"spotify:track:4wNyrbY6B2Okii8VeKo2B2","Tiakola","Meuda","Wati-B",37,124,12,"390265"
118,"spotify:track:0fukO3WYYUHaXOrvEohpEG","Damso","Σ. MOROSE","Trente-quatre Centimes",1,115,69,"388727"
119,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",3,111,58,"384390"
120,"spotify:track:0Kvkx0NcqsdYOhQzYfDuDZ","Ziak","Fixette - Bonus","Universal Music Division Capitol Music France",1,119,49,"383473"
121,"spotify:track:0MG9FlA1CLNbHQSnQQaMF2","Jul","Ça tourne dans ma tête","D'Or et de Platine",13,105,15,"380103"
122,"spotify:track:6P3FBaZfUjeWYExU2ShaPZ","DTF","Me Gusta","QLF Records",49,134,62,"378741"
123,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",123,139,3,"378605"
124,"spotify:track:17jlkHSNHFu1zUuu8QZyOW","Dinos","Placebo","SPKTAQLR",124,146,2,"378112"
125,"spotify:track:4QAv7uyOwIgqOVgzczomOo","Leto, Tiakola","Mapessa (feat. Tiakola)","Rec. 118",9,125,48,"374575"
126,"spotify:track:63siBeZzxXVaY0uASns1V2","Bigflo & Oli, Julien Doré","Coup de vieux","Universal Music Division Polydor",89,190,5,"371645"
127,"spotify:track:7LQxyZwcn4Ryq4Z0qllQd3","Gazo","LETTRE À UN OPPS","BSB PROD",19,145,7,"367732"
128,"spotify:track:1I4dwH7C0jBAEtz5DjlJgQ","Sofia Carson","Come Back Home","Hollywood Records",128,149,2,"365884"
129,"spotify:track:1WkliDsYrTr7UdNcQVDy2Q","Werenoi","La League","PGP Records",129,155,2,"362501"
130,"spotify:track:0Wr98MVkENZXddiLB3bPb0","Louise Attaque","J't'emmène au vent","Universal Music Division Barclay",100,132,56,"359438"
131,"spotify:track:46HNZY1i7O6jwTA7Slo2PI","Coldplay, BTS","My Universe","Parlophone UK",30,126,42,"357360"
132,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",16,123,51,"354687"
133,"spotify:track:6xGruZOHLs39ZbVccQTuPZ","Joji","Glimpse of Us","88rising Music/Warner Records",50,122,9,"352425"
134,"spotify:track:7ELft1cx8anhsXE405kckI","Tiakola","M3lo","Wati-B",31,130,17,"349212"
135,"spotify:track:7wFK2ReVQpq80IAGs6eI1l","Damso","Γ. Mosaïque solitaire","Universal Music Division Capitol Music France",4,138,89,"344965"
136,"spotify:track:03y045SZqaC94yfXl1cU4E","Soso Maness, PLK","Petrouchka (feat. PLK)","RCA Group",1,133,63,"342183"
137,"spotify:track:30d0q6kt1BIfwAQUCAfxVQ","Kerchak","Calme toi","Label Blue Sky",137,-1,1,"341171"
138,"spotify:track:2O9enJqAqs46tfBlGhLsnW","Le classico organisé, Koba LaD, Jul, PLK, SCH, Gazo, Soso Maness, Kofs, Guy2bezbar, Naps","Le classico organisé","Rien 100 Rien",1,127,41,"341070"
